epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,72.6247,0.51742,0.40451,1.14624,0.99495,1,0.995,0.97735,0.30928,0.28926,0.92741,0.00148876,0.00148876,0.00148876
56,73.9348,0.54917,0.40186,1.17398,0.97639,0.99546,0.995,0.94346,0.35657,0.3615,0.97441,0.00148546,0.00148546,0.00148546
57,75.2227,0.54022,0.41853,1.14419,0.86515,0.9125,0.995,0.94508,0.34017,0.54803,0.95153,0.00148216,0.00148216,0.00148216
58,76.5204,0.53645,0.4192,1.14413,0.96668,0.97469,0.995,0.88857,0.50205,0.42612,1.1152,0.00147886,0.00147886,0.00147886
59,77.82,0.55643,0.41742,1.15867,0.99102,1,0.995,0.94229,0.34327,0.28779,0.95399,0.00147556,0.00147556,0.00147556
60,79.1168,0.57154,0.41033,1.15665,0.99131,1,0.995,0.90628,0.40727,0.31557,0.99875,0.00147226,0.00147226,0.00147226
61,80.4008,0.61786,0.44075,1.20367,0.99309,1,0.995,0.91432,0.41729,0.31793,1.01383,0.00146896,0.00146896,0.00146896
62,81.6883,0.58564,0.42082,1.19547,0.92565,1,0.99094,0.91909,0.41996,0.40281,1.02123,0.00146566,0.00146566,0.00146566
63,82.9803,0.5376,0.4151,1.14556,0.99461,1,0.995,0.94776,0.33901,0.35989,0.96489,0.00146236,0.00146236,0.00146236
64,84.2716,0.53036,0.40777,1.15635,0.94696,0.99297,0.98231,0.86874,0.45229,0.41061,1.032,0.00145906,0.00145906,0.00145906
65,85.5659,0.53879,0.39929,1.13802,0.95352,1,0.99192,0.91355,0.39511,0.3733,0.99805,0.00145576,0.00145576,0.00145576
66,86.8549,0.50119,0.3918,1.11911,0.99302,1,0.995,0.95617,0.34079,0.30745,0.95547,0.00145246,0.00145246,0.00145246
67,88.1439,0.50575,0.36667,1.12715,0.98941,1,0.995,0.96945,0.28941,0.25429,0.91556,0.00144916,0.00144916,0.00144916
68,89.4378,0.50076,0.36595,1.11964,0.99511,1,0.995,0.96296,0.2894,0.23917,0.91019,0.00144586,0.00144586,0.00144586
69,90.7336,0.49963,0.35208,1.08995,0.99551,1,0.995,0.93542,0.37288,0.26856,0.98489,0.00144256,0.00144256,0.00144256
70,92.0287,0.5016,0.35796,1.11082,0.99575,1,0.995,0.96471,0.34044,0.26454,0.96023,0.00143925,0.00143925,0.00143925
71,93.3208,0.49069,0.36201,1.09237,0.99244,1,0.995,0.96693,0.27617,0.23438,0.89434,0.00143595,0.00143595,0.00143595
72,94.6116,0.47743,0.34301,1.10076,0.99202,1,0.995,0.95901,0.29083,0.26208,0.93289,0.00143265,0.00143265,0.00143265
73,95.8965,0.48675,0.35928,1.10233,0.99447,1,0.995,0.95651,0.29691,0.23895,0.90708,0.00142935,0.00142935,0.00142935
74,97.1918,0.49539,0.36929,1.13415,0.99551,1,0.995,0.97848,0.28065,0.22794,0.89517,0.00142605,0.00142605,0.00142605
75,98.4959,0.48236,0.3719,1.09543,0.99545,1,0.995,0.9683,0.31271,0.25256,0.91937,0.00142275,0.00142275,0.00142275
76,99.7895,0.45637,0.3491,1.07837,0.98346,1,0.995,0.95397,0.31319,0.26112,0.93997,0.00141945,0.00141945,0.00141945
77,101.075,0.49664,0.36267,1.11644,0.99297,1,0.995,0.97372,0.3126,0.24756,0.92666,0.00141615,0.00141615,0.00141615
78,102.365,0.51942,0.3817,1.14133,0.98673,1,0.995,0.95807,0.33928,0.27701,0.95561,0.00141285,0.00141285,0.00141285
79,103.655,0.53104,0.368,1.15256,0.87847,0.86098,0.98231,0.95204,0.33473,0.52087,0.96336,0.00140955,0.00140955,0.00140955
80,104.952,0.48745,0.35822,1.08676,0.99487,1,0.995,0.97407,0.31215,0.24466,0.92076,0.00140625,0.00140625,0.00140625
81,106.239,0.4603,0.33953,1.06427,0.9905,1,0.995,0.95453,0.31294,0.24871,0.91327,0.00140295,0.00140295,0.00140295
82,107.532,0.47787,0.34545,1.10958,0.98793,1,0.995,0.95991,0.33443,0.26885,0.97719,0.00139965,0.00139965,0.00139965
